order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,order_date,region
45,500,3,Desk Chair,Furniture,5,199.99,999.95,2024-09-08,West
46,447,7,Keyboard,Electronics,3,79.99,239.97,2024-05-06,South
47,13,6,Monitor,Electronics,4,299.99,1199.96,2024-03-08,West
48,41,9,Water Bottle,Sports,3,19.99,59.97,2024-07-14,East
49,41,4,Coffee Mug,Kitchen,1,12.99,12.99,2024-02-04,West
50,410,1,Laptop,Electronics,5,999.99,4999.95,2024-08-18,North
51,89,7,Keyboard,Electronics,2,79.99,159.98,2024-04-24,West
52,316,7,Keyboard,Electronics,1,79.99,79.99,2024-08-11,South
53,297,3,Desk Chair,Furniture,3,199.99,599.97,2024-06-30,North
54,349,5,Notebook,Office,3,4.99,14.97,2024-06-04,East
55,186,10,Backpack,Accessories,3,59.99,179.97,2024-12-29,West
56,445,9,Water Bottle,Sports,4,19.99,79.96,2024-08-04,South
57,294,2,Mouse,Electronics,5,25.99,129.95,2024-07-06,West
58,445,10,Backpack,Accessories,5,59.99,299.95,2024-07-08,West
59,462,4,Coffee Mug,Kitchen,2,12.99,25.98,2024-09-26,West
60,264,9,Water Bottle,Sports,5,19.99,99.95,2024-11-25,East
61,404,8,Desk Lamp,Furniture,1,45.99,45.99,2024-04-13,South
62,313,1,Laptop,Electronics,3,999.99,2999.97,2024-02-06,North
63,350,4,Coffee Mug,Kitchen,3,12.99,38.97,2024-04-25,North
64,104,3,Desk Chair,Furniture,2,199.99,399.98,2024-12-21,North
65,276,1,Laptop,Electronics,5,999.99,4999.95,2024-05-30,North
66,263,9,Water Bottle,Sports,1,19.99,19.99,2024-05-01,South
67,332,2,Mouse,Electronics,5,25.99,129.95,2024-06-13,West
68,316,10,Backpack,Accessories,5,59.99,299.95,2024-01-23,North
69,261,7,Keyboard,Electronics,2,79.99,159.98,2024-04-29,West
70,375,8,Desk Lamp,Furniture,3,45.99,137.97,2024-01-31,North
71,348,6,Monitor,Electronics,2,299.99,599.98,2024-03-26,West
72,285,8,Desk Lamp,Furniture,1,45.99,45.99,2024-07-07,North
73,244,7,Keyboard,Electronics,2,79.99,159.98,2024-01-08,East
74,446,7,Keyboard,Electronics,5,79.99,399.95,2024-12-14,South
75,433,8,Desk Lamp,Furniture,2,45.99,91.98,2024-05-19,West
76,120,6,Monitor,Electronics,3,299.99,899.97,2024-09-14,West
77,211,10,Backpack,Accessories,2,59.99,119.98,2024-02-16,West
78,249,10,Backpack,Accessories,3,59.99,179.97,2024-05-07,West
79,241,3,Desk Chair,Furniture,1,199.99,199.99,2024-08-06,North
80,278,1,Laptop,Electronics,3,999.99,2999.97,2024-09-05,North
81,444,4,Coffee Mug,Kitchen,4,12.99,51.96,2024-01-23,West
82,332,1,Laptop,Electronics,2,999.99,1999.98,2024-02-25,North
83,479,10,Backpack,Accessories,4,59.99,239.96,2024-10-23,West
84,185,6,Monitor,Electronics,2,299.99,599.98,2024-09-13,North
85,47,5,Notebook,Office,2,4.99,9.98,2024-09-09,East
86,207,6,Monitor,Electronics,5,299.99,1499.95,2024-12-18,South
87,198,6,Monitor,Electronics,5,299.99,1499.95,2024-03-16,North
88,19,2,Mouse,Electronics,2,25.99,51.98,2024-01-01,South
89,335,5,Notebook,Office,2,4.99,9.98,2024-03-14,West
90,278,6,Monitor,Electronics,3,299.99,899.97,2024-05-20,South
91,196,8,Desk Lamp,Furniture,1,45.99,45.99,2024-12-15,East
92,337,4,Coffee Mug,Kitchen,2,12.99,25.98,2024-11-16,West
93,263,7,Keyboard,Electronics,2,79.99,159.98,2024-12-21,East
94,379,3,Desk Chair,Furniture,1,199.99,199.99,2024-01-14,West
95,178,1,Laptop,Electronics,2,999.99,1999.98,2024-03-25,East
96,404,3,Desk Chair,Furniture,1,199.99,199.99,2024-04-20,South
97,149,8,Desk Lamp,Furniture,1,45.99,45.99,2024-01-06,North
98,15,8,Desk Lamp,Furniture,2,45.99,91.98,2024-04-09,West
99,500,6,Monitor,Electronics,4,299.99,1199.96,2024-03-29,North
100,267,3,Desk Chair,Furniture,4,199.99,799.96,2024-12-31,West
101,402,10,Backpack,Accessories,4,59.99,239.96,2024-11-29,West
102,258,10,Backpack,Accessories,1,59.99,59.99,2024-10-19,West
103,125,9,Water Bottle,Sports,2,19.99,39.98,2024-06-05,North
104,238,5,Notebook,Office,5,4.99,24.95,2024-08-07,North
105,291,9,Water Bottle,Sports,2,19.99,39.98,2024-11-23,South
106,174,8,Desk Lamp,Furniture,3,45.99,137.97,2024-06-16,South
107,451,9,Water Bottle,Sports,2,19.99,39.98,2024-05-09,West
108,245,10,Backpack,Accessories,1,59.99,59.99,2024-05-23,West
109,413,9,Water Bottle,Sports,2,19.99,39.98,2024-06-09,South
110,486,10,Backpack,Accessories,1,59.99,59.99,2024-05-08,East
111,290,10,Backpack,Accessories,2,59.99,119.98,2024-07-07,South
112,315,5,Notebook,Office,1,4.99,4.99,2024-11-17,West
113,368,9,Water Bottle,Sports,1,19.99,19.99,2024-09-17,South
114,223,5,Notebook,Office,5,4.99,24.95,2024-12-29,North
115,86,4,Coffee Mug,Kitchen,2,12.99,25.98,2024-12-27,North
116,370,1,Laptop,Electronics,2,999.99,1999.98,2024-08-12,North
117,231,7,Keyboard,Electronics,1,79.99,79.99,2024-11-21,West
118,207,6,Monitor,Electronics,5,299.99,1499.95,2024-09-13,East
119,135,8,Desk Lamp,Furniture,1,45.99,45.99,2024-07-16,North
120,360,3,Desk Chair,Furniture,1,199.99,199.99,2024-11-29,South
121,430,8,Desk Lamp,Furniture,4,45.99,183.96,2024-10-27,West
122,276,5,Notebook,Office,1,4.99,4.99,2024-04-13,South
123,7,7,Keyboard,Electronics,3,79.99,239.97,2024-08-26,South
124,344,9,Water Bottle,Sports,2,19.99,39.98,2024-10-22,South
125,155,8,Desk Lamp,Furniture,1,45.99,45.99,2024-01-26,East
126,135,5,Notebook,Office,2,4.99,9.98,2024-04-01,South
127,390,9,Water Bottle,Sports,3,19.99,59.97,2024-07-09,South
128,207,3,Desk Chair,Furniture,1,199.99,199.99,2024-04-06,East
129,431,5,Notebook,Office,3,4.99,14.97,2024-08-30,West
130,39,4,Coffee Mug,Kitchen,4,12.99,51.96,2024-04-02,East
131,166,10,Backpack,Accessories,4,59.99,239.96,2024-08-15,West
132,255,10,Backpack,Accessories,3,59.99,179.97,2024-04-01,East
133,136,8,Desk Lamp,Furniture,2,45.99,91.98,2024-11-08,South
134,382,10,Backpack,Accessories,1,59.99,59.99,2024-04-27,West
135,64,4,Coffee Mug,Kitchen,3,12.99,38.97,2024-04-21,East
136,249,8,Desk Lamp,Furniture,4,45.99,183.96,2024-03-17,South
137,43,8,Desk Lamp,Furniture,1,45.99,45.99,2024-01-27,South
138,207,2,Mouse,Electronics,2,25.99,51.98,2024-07-19,East
139,243,1,Laptop,Electronics,1,999.99,999.99,2024-03-31,East
140,355,5,Notebook,Office,2,4.99,9.98,2024-02-18,North
141,93,7,Keyboard,Electronics,5,79.99,399.95,2024-04-11,East
142,469,6,Monitor,Electronics,5,299.99,1499.95,2024-02-19,South
143,104,1,Laptop,Electronics,2,999.99,1999.98,2024-10-07,North
144,152,5,Notebook,Office,4,4.99,19.96,2024-06-14,East
145,348,10,Backpack,Accessories,1,59.99,59.99,2024-03-26,West
146,372,3,Desk Chair,Furniture,2,199.99,399.98,2024-10-19,North
147,289,9,Water Bottle,Sports,5,19.99,99.95,2024-12-06,West
148,442,8,Desk Lamp,Furniture,1,45.99,45.99,2024-08-13,South
149,325,4,Coffee Mug,Kitchen,4,12.99,51.96,2024-03-03,North
150,15,1,Laptop,Electronics,3,999.99,2999.97,2024-02-10,South
151,188,1,Laptop,Electronics,1,999.99,999.99,2024-08-29,North
152,68,6,Monitor,Electronics,3,299.99,899.97,2024-04-08,South
153,229,10,Backpack,Accessories,3,59.99,179.97,2024-09-23,South
154,312,9,Water Bottle,Sports,1,19.99,19.99,2024-03-25,North
155,239,9,Water Bottle,Sports,2,19.99,39.98,2024-10-26,West
156,189,3,Desk Chair,Furniture,5,199.99,999.95,2024-10-24,North
157,114,9,Water Bottle,Sports,5,19.99,99.95,2024-03-13,East
158,328,5,Notebook,Office,2,4.99,9.98,2024-09-28,South
159,58,2,Mouse,Electronics,4,25.99,103.96,2024-04-08,West
160,99,10,Backpack,Accessories,4,59.99,239.96,2024-02-28,South
161,483,6,Monitor,Electronics,2,299.99,599.98,2024-09-16,South
162,291,6,Monitor,Electronics,3,299.99,899.97,2024-11-26,North
163,165,2,Mouse,Electronics,3,25.99,77.97,2024-12-06,South
164,3,9,Water Bottle,Sports,5,19.99,99.95,2024-08-16,West
165,17,8,Desk Lamp,Furniture,1,45.99,45.99,2024-09-04,North
166,82,4,Coffee Mug,Kitchen,2,12.99,25.98,2024-06-03,West
167,330,5,Notebook,Office,3,4.99,14.97,2024-05-17,South
168,122,9,Water Bottle,Sports,4,19.99,79.96,2024-12-02,East
169,384,2,Mouse,Electronics,4,25.99,103.96,2024-05-12,South
170,170,3,Desk Chair,Furniture,3,199.99,599.97,2024-09-04,East
171,394,4,Coffee Mug,Kitchen,1,12.99,12.99,2024-07-30,East
172,377,7,Keyboard,Electronics,1,79.99,79.99,2024-08-16,West
173,296,6,Monitor,Electronics,2,299.99,599.98,2024-06-21,East
174,156,1,Laptop,Electronics,2,999.99,1999.98,2024-08-02,South
175,364,3,Desk Chair,Furniture,5,199.99,999.95,2024-07-01,West
176,275,9,Water Bottle,Sports,1,19.99,19.99,2024-04-25,West
177,158,2,Mouse,Electronics,4,25.99,103.96,2024-12-05,East
178,263,8,Desk Lamp,Furniture,4,45.99,183.96,2024-10-12,North
179,111,3,Desk Chair,Furniture,4,199.99,799.96,2024-09-17,West
180,195,8,Desk Lamp,Furniture,5,45.99,229.95,2024-11-28,North
181,45,10,Backpack,Accessories,4,59.99,239.96,2024-09-21,East
182,8,9,Water Bottle,Sports,5,19.99,99.95,2024-03-01,North
183,272,6,Monitor,Electronics,1,299.99,299.99,2024-04-29,South
184,398,6,Monitor,Electronics,2,299.99,599.98,2024-05-06,West
185,191,7,Keyboard,Electronics,4,79.99,319.96,2024-06-17,North
186,298,2,Mouse,Electronics,1,25.99,25.99,2024-05-26,South
187,327,2,Mouse,Electronics,5,25.99,129.95,2024-04-21,East
188,361,9,Water Bottle,Sports,4,19.99,79.96,2024-08-15,East
189,428,2,Mouse,Electronics,4,25.99,103.96,2024-06-20,East
190,379,5,Notebook,Office,4,4.99,19.96,2024-03-05,South
191,145,6,Monitor,Electronics,3,299.99,899.97,2024-05-10,South
192,170,5,Notebook,Office,1,4.99,4.99,2024-10-10,South
193,18,8,Desk Lamp,Furniture,2,45.99,91.98,2024-09-08,West
194,473,9,Water Bottle,Sports,5,19.99,99.95,2024-02-07,South
195,196,5,Notebook,Office,4,4.99,19.96,2024-12-23,North
196,122,8,Desk Lamp,Furniture,1,45.99,45.99,2024-07-26,West
197,8,10,Backpack,Accessories,1,59.99,59.99,2024-12-17,West
198,115,4,Coffee Mug,Kitchen,5,12.99,64.95,2024-05-20,West
199,175,10,Backpack,Accessories,4,59.99,239.96,2024-10-16,East
200,305,5,Notebook,Office,5,4.99,24.95,2024-06-30,East
201,56,10,Backpack,Accessories,2,59.99,119.98,2024-08-13,South
202,124,3,Desk Chair,Furniture,2,199.99,399.98,2024-07-01,West
203,56,6,Monitor,Electronics,2,299.99,599.98,2024-02-06,South
204,297,10,Backpack,Accessories,4,59.99,239.96,2024-08-07,South
205,112,1,Laptop,Electronics,5,999.99,4999.95,2024-10-29,North
206,73,2,Mouse,Electronics,3,25.99,77.97,2024-04-23,North
207,483,2,Mouse,Electronics,3,25.99,77.97,2024-04-28,East
208,457,3,Desk Chair,Furniture,3,199.99,599.97,2024-04-07,North
209,171,1,Laptop,Electronics,1,999.99,999.99,2024-09-06,North
210,133,5,Notebook,Office,3,4.99,14.97,2024-11-01,East
211,419,3,Desk Chair,Furniture,2,199.99,399.98,2024-06-24,North
212,366,10,Backpack,Accessories,3,59.99,179.97,2024-11-22,South
213,186,7,Keyboard,Electronics,5,79.99,399.95,2024-10-24,West
214,108,8,Desk Lamp,Furniture,1,45.99,45.99,2024-12-06,South
215,15,10,Backpack,Accessories,2,59.99,119.98,2024-09-03,North
216,326,6,Monitor,Electronics,4,299.99,1199.96,2024-06-28,East
217,186,9,Water Bottle,Sports,5,19.99,99.95,2024-04-26,East
218,387,4,Coffee Mug,Kitchen,2,12.99,25.98,2024-09-02,North
219,399,1,Laptop,Electronics,3,999.99,2999.97,2024-07-05,East
220,43,2,Mouse,Electronics,3,25.99,77.97,2024-04-26,South
221,197,2,Mouse,Electronics,5,25.99,129.95,2024-11-15,West
222,293,2,Mouse,Electronics,1,25.99,25.99,2024-08-05,South
223,89,3,Desk Chair,Furniture,2,199.99,399.98,2024-01-20,East
224,51,6,Monitor,Electronics,4,299.99,1199.96,2024-03-27,West
225,442,1,Laptop,Electronics,3,999.99,2999.97,2024-04-19,East
226,411,10,Backpack,Accessories,1,59.99,59.99,2024-01-05,West
227,90,10,Backpack,Accessories,5,59.99,299.95,2024-10-16,North
228,385,8,Desk Lamp,Furniture,5,45.99,229.95,2024-09-26,East
229,348,6,Monitor,Electronics,3,299.99,899.97,2024-10-10,North
230,259,10,Backpack,Accessories,1,59.99,59.99,2024-01-08,West
231,181,2,Mouse,Electronics,2,25.99,51.98,2024-05-19,South
232,171,7,Keyboard,Electronics,4,79.99,319.96,2024-06-26,North
233,161,5,Notebook,Office,5,4.99,24.95,2024-10-22,North
234,87,7,Keyboard,Electronics,1,79.99,79.99,2024-06-08,East
235,348,1,Laptop,Electronics,2,999.99,1999.98,2024-03-06,North
236,421,9,Water Bottle,Sports,5,19.99,99.95,2024-06-25,North
237,32,5,Notebook,Office,5,4.99,24.95,2024-03-28,South
238,269,9,Water Bottle,Sports,3,19.99,59.97,2024-06-06,West
239,42,3,Desk Chair,Furniture,2,199.99,399.98,2024-10-30,North
240,285,10,Backpack,Accessories,1,59.99,59.99,2024-12-30,East
241,251,10,Backpack,Accessories,2,59.99,119.98,2024-05-30,East
242,11,5,Notebook,Office,3,4.99,14.97,2024-07-07,East
243,226,3,Desk Chair,Furniture,4,199.99,799.96,2024-10-16,West
244,14,9,Water Bottle,Sports,4,19.99,79.96,2024-04-09,South
245,495,9,Water Bottle,Sports,3,19.99,59.97,2024-07-31,East
246,69,1,Laptop,Electronics,3,999.99,2999.97,2024-01-24,East
247,480,4,Coffee Mug,Kitchen,1,12.99,12.99,2024-11-05,East
248,299,7,Keyboard,Electronics,3,79.99,239.97,2024-03-10,West
249,140,1,Laptop,Electronics,4,999.99,3999.96,2024-01-03,West
250,2,9,Water Bottle,Sports,5,19.99,99.95,2024-09-26,North
251,226,2,Mouse,Electronics,4,25.99,103.96,2024-11-01,West
252,459,10,Backpack,Accessories,2,59.99,119.98,2024-09-25,West
253,482,10,Backpack,Accessories,5,59.99,299.95,2024-06-16,West
254,111,8,Desk Lamp,Furniture,4,45.99,183.96,2024-03-09,North
255,294,5,Notebook,Office,2,4.99,9.98,2024-05-09,East
256,296,9,Water Bottle,Sports,2,19.99,39.98,2024-09-07,South
257,306,2,Mouse,Electronics,3,25.99,77.97,2024-02-02,East
258,328,6,Monitor,Electronics,5,299.99,1499.95,2024-02-16,East
259,478,10,Backpack,Accessories,4,59.99,239.96,2024-08-28,North
260,190,10,Backpack,Accessories,2,59.99,119.98,2024-04-13,South
261,107,4,Coffee Mug,Kitchen,5,12.99,64.95,2024-04-29,South
262,21,2,Mouse,Electronics,3,25.99,77.97,2024-10-07,North
263,180,4,Coffee Mug,Kitchen,4,12.99,51.96,2024-04-27,North
264,155,4,Coffee Mug,Kitchen,2,12.99,25.98,2024-04-01,East
265,156,7,Keyboard,Electronics,5,79.99,399.95,2024-08-13,North
266,118,7,Keyboard,Electronics,2,79.99,159.98,2024-12-20,North
267,498,6,Monitor,Electronics,2,299.99,599.98,2024-10-23,North
268,35,5,Notebook,Office,4,4.99,19.96,2024-12-01,North
269,348,8,Desk Lamp,Furniture,1,45.99,45.99,2024-11-28,West
270,451,7,Keyboard,Electronics,3,79.99,239.97,2024-06-14,West
271,20,6,Monitor,Electronics,1,299.99,299.99,2024-07-21,West
272,158,1,Laptop,Electronics,3,999.99,2999.97,2024-11-16,South
273,371,8,Desk Lamp,Furniture,2,45.99,91.98,2024-11-14,South
274,247,10,Backpack,Accessories,4,59.99,239.96,2024-10-06,North
275,67,8,Desk Lamp,Furniture,2,45.99,91.98,2024-11-05,West
276,75,10,Backpack,Accessories,3,59.99,179.97,2024-07-26,North
277,39,1,Laptop,Electronics,3,999.99,2999.97,2024-03-18,West
278,304,8,Desk Lamp,Furniture,5,45.99,229.95,2024-12-18,South
279,163,10,Backpack,Accessories,3,59.99,179.97,2024-01-31,North
280,458,1,Laptop,Electronics,5,999.99,4999.95,2024-03-09,South
281,24,3,Desk Chair,Furniture,3,199.99,599.97,2024-02-29,West
282,175,2,Mouse,Electronics,2,25.99,51.98,2024-02-21,East
283,388,9,Water Bottle,Sports,2,19.99,39.98,2024-02-02,North
284,416,9,Water Bottle,Sports,5,19.99,99.95,2024-07-30,West
285,364,10,Backpack,Accessories,5,59.99,299.95,2024-08-25,North
286,282,8,Desk Lamp,Furniture,5,45.99,229.95,2024-07-05,South
287,307,5,Notebook,Office,3,4.99,14.97,2024-11-19,East
288,137,9,Water Bottle,Sports,1,19.99,19.99,2024-11-17,North
289,32,5,Notebook,Office,1,4.99,4.99,2024-08-21,West
290,471,4,Coffee Mug,Kitchen,5,12.99,64.95,2024-01-31,East
291,457,1,Laptop,Electronics,4,999.99,3999.96,2024-04-19,East
292,369,10,Backpack,Accessories,2,59.99,119.98,2024-05-22,West
293,231,5,Notebook,Office,4,4.99,19.96,2024-04-07,South
294,307,1,Laptop,Electronics,2,999.99,1999.98,2024-02-05,West
295,328,5,Notebook,Office,3,4.99,14.97,2024-09-06,East
296,184,4,Coffee Mug,Kitchen,5,12.99,64.95,2024-03-24,South
297,307,2,Mouse,Electronics,4,25.99,103.96,2024-01-12,West
298,359,10,Backpack,Accessories,2,59.99,119.98,2024-08-19,East
299,255,3,Desk Chair,Furniture,3,199.99,599.97,2024-04-27,North
300,440,9,Water Bottle,Sports,2,19.99,39.98,2024-02-15,North
301,74,9,Water Bottle,Sports,2,19.99,39.98,2024-04-03,South
302,231,1,Laptop,Electronics,3,999.99,2999.97,2024-07-30,East
303,236,9,Water Bottle,Sports,5,19.99,99.95,2024-08-17,West
304,21,7,Keyboard,Electronics,5,79.99,399.95,2024-11-02,North
305,282,1,Laptop,Electronics,5,999.99,4999.95,2024-11-26,South
306,58,1,Laptop,Electronics,2,999.99,1999.98,2024-05-03,West
307,156,3,Desk Chair,Furniture,1,199.99,199.99,2024-11-19,North
308,262,3,Desk Chair,Furniture,4,199.99,799.96,2024-05-19,East
309,427,1,Laptop,Electronics,2,999.99,1999.98,2024-11-13,South
310,418,10,Backpack,Accessories,1,59.99,59.99,2024-01-12,South
311,479,2,Mouse,Electronics,4,25.99,103.96,2024-11-08,East
312,178,1,Laptop,Electronics,2,999.99,1999.98,2024-09-21,West
313,70,1,Laptop,Electronics,5,999.99,4999.95,2024-05-24,North
314,61,9,Water Bottle,Sports,2,19.99,39.98,2024-01-07,South
315,359,7,Keyboard,Electronics,5,79.99,399.95,2024-03-10,East
316,143,10,Backpack,Accessories,1,59.99,59.99,2024-01-22,North
317,168,10,Backpack,Accessories,4,59.99,239.96,2024-05-01,East
318,12,7,Keyboard,Electronics,2,79.99,159.98,2024-02-15,East
319,283,1,Laptop,Electronics,4,999.99,3999.96,2024-11-15,East
320,203,6,Monitor,Electronics,2,299.99,599.98,2024-01-01,West
321,431,10,Backpack,Accessories,1,59.99,59.99,2024-09-26,East
322,364,3,Desk Chair,Furniture,1,199.99,199.99,2024-03-07,West
323,141,8,Desk Lamp,Furniture,4,45.99,183.96,2024-10-28,North
324,264,2,Mouse,Electronics,1,25.99,25.99,2024-11-04,North
325,148,6,Monitor,Electronics,5,299.99,1499.95,2024-02-20,West
326,473,9,Water Bottle,Sports,3,19.99,59.97,2024-10-09,North
327,278,4,Coffee Mug,Kitchen,3,12.99,38.97,2024-01-02,East
328,158,1,Laptop,Electronics,3,999.99,2999.97,2024-07-10,North
329,65,8,Desk Lamp,Furniture,3,45.99,137.97,2024-11-03,West
330,121,8,Desk Lamp,Furniture,3,45.99,137.97,2024-07-10,East
331,109,4,Coffee Mug,Kitchen,3,12.99,38.97,2024-05-30,West
332,183,5,Notebook,Office,5,4.99,24.95,2024-05-13,North
333,408,4,Coffee Mug,Kitchen,3,12.99,38.97,2024-04-30,West
334,167,10,Backpack,Accessories,2,59.99,119.98,2024-10-23,North
335,436,2,Mouse,Electronics,4,25.99,103.96,2024-10-15,North
336,22,4,Coffee Mug,Kitchen,5,12.99,64.95,2024-10-28,South
337,121,9,Water Bottle,Sports,2,19.99,39.98,2024-08-19,North
338,451,8,Desk Lamp,Furniture,3,45.99,137.97,2024-05-14,East
339,261,3,Desk Chair,Furniture,3,199.99,599.97,2024-06-30,South
340,54,10,Backpack,Accessories,4,59.99,239.96,2024-08-23,West
341,121,6,Monitor,Electronics,5,299.99,1499.95,2024-02-15,East
342,54,9,Water Bottle,Sports,1,19.99,19.99,2024-10-24,South
343,68,8,Desk Lamp,Furniture,4,45.99,183.96,2024-10-10,North
344,440,7,Keyboard,Electronics,4,79.99,319.96,2024-05-10,East
345,435,3,Desk Chair,Furniture,3,199.99,599.97,2024-06-16,West
346,158,5,Notebook,Office,1,4.99,4.99,2024-08-26,South
347,74,6,Monitor,Electronics,3,299.99,899.97,2024-03-23,West
348,157,10,Backpack,Accessories,5,59.99,299.95,2024-02-21,North
349,86,8,Desk Lamp,Furniture,4,45.99,183.96,2024-05-18,East
350,60,1,Laptop,Electronics,1,999.99,999.99,2024-01-25,North
351,203,5,Notebook,Office,2,4.99,9.98,2024-07-02,South
352,401,9,Water Bottle,Sports,4,19.99,79.96,2024-09-02,West
353,416,7,Keyboard,Electronics,2,79.99,159.98,2024-05-30,West
354,310,7,Keyboard,Electronics,2,79.99,159.98,2024-01-19,South
355,482,1,Laptop,Electronics,1,999.99,999.99,2024-04-04,East
356,459,5,Notebook,Office,1,4.99,4.99,2024-10-12,East
357,229,3,Desk Chair,Furniture,3,199.99,599.97,2024-02-12,West
358,92,10,Backpack,Accessories,1,59.99,59.99,2024-11-27,North
359,12,2,Mouse,Electronics,5,25.99,129.95,2024-09-23,East
360,89,5,Notebook,Office,4,4.99,19.96,2024-10-16,West
361,285,5,Notebook,Office,5,4.99,24.95,2024-01-03,East
362,118,4,Coffee Mug,Kitchen,2,12.99,25.98,2024-07-22,South
363,372,4,Coffee Mug,Kitchen,2,12.99,25.98,2024-10-16,East
364,282,10,Backpack,Accessories,3,59.99,179.97,2024-07-10,West
365,107,2,Mouse,Electronics,3,25.99,77.97,2024-08-07,North
366,128,8,Desk Lamp,Furniture,1,45.99,45.99,2024-02-15,South
367,8,5,Notebook,Office,4,4.99,19.96,2024-03-22,North
368,211,8,Desk Lamp,Furniture,1,45.99,45.99,2024-01-18,South
369,303,8,Desk Lamp,Furniture,3,45.99,137.97,2024-09-25,North
370,168,10,Backpack,Accessories,2,59.99,119.98,2024-02-17,East
371,79,9,Water Bottle,Sports,4,19.99,79.96,2024-12-19,North
372,346,4,Coffee Mug,Kitchen,3,12.99,38.97,2024-01-21,North
373,74,2,Mouse,Electronics,1,25.99,25.99,2024-04-30,North
374,239,10,Backpack,Accessories,2,59.99,119.98,2024-04-30,South
375,257,5,Notebook,Office,4,4.99,19.96,2024-08-30,North
376,200,10,Backpack,Accessories,2,59.99,119.98,2024-10-13,East
377,250,8,Desk Lamp,Furniture,3,45.99,137.97,2024-06-30,West
378,230,10,Backpack,Accessories,5,59.99,299.95,2024-04-14,East
379,453,3,Desk Chair,Furniture,1,199.99,199.99,2024-02-12,South
380,372,2,Mouse,Electronics,5,25.99,129.95,2024-05-31,West
381,102,2,Mouse,Electronics,4,25.99,103.96,2024-10-25,South
382,468,10,Backpack,Accessories,3,59.99,179.97,2024-06-08,North
383,349,10,Backpack,Accessories,3,59.99,179.97,2024-07-30,East
384,367,8,Desk Lamp,Furniture,2,45.99,91.98,2024-08-20,West
385,40,8,Desk Lamp,Furniture,1,45.99,45.99,2024-04-12,East
386,126,5,Notebook,Office,4,4.99,19.96,2024-03-10,North
387,181,4,Coffee Mug,Kitchen,3,12.99,38.97,2024-08-17,West
